Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,target
Female,14.912902,1.598143,75.070351,yes,yes,2.758177,1.097303,Sometimes,no,1.021202,no,1.881550,0.050863,no,Public_Transportation,0
Male,24.964968,1.746882,71.801157,no,yes,2.350816,2.679899,Sometimes,no,2.855262,no,0.679771,1.673120,Sometimes,Public_Transportation,0
Male,23.486704,1.618827,65.691673,yes,no,2.810070,3.895302,Sometimes,no,2.512160,no,0.203354,0.524875,no,Automobile,0
Male,18.989212,1.857994,170.698149,yes,yes,2.675080,2.323201,Sometimes,no,2.242215,yes,2.531327,1.247857,Sometimes,Public_Transportation,0
Female,18.904875,1.600804,58.615038,no,yes,1.767463,2.934213,Sometimes,no,1.523868,no,2.620969,1.073327,no,Public_Transportation,0
Male,14.562872,1.794870,79.645417,yes,yes,2.516523,3.629793,Frequently,no,2.162544,no,1.322575,1.189607,no,Public_Transportation,0
Female,20.644897,1.767602,81.456513,yes,no,2.562859,3.849091,Frequently,no,2.903538,no,1.123423,0.088526,Sometimes,Public_Transportation,0
Female,24.002669,1.617760,75.488079,yes,yes,2.810612,3.468419,Sometimes,no,2.287338,no,1.975429,0.739079,no,Public_Transportation,0
Male,20.883148,1.701611,51.316830,yes,yes,1.917665,1.571042,Frequently,no,1.031875,no,1.242989,1.986198,Sometimes,Public_Transportation,0
Male,26.536962,1.807560,121.293791,yes,yes,2.589404,2.639868,Sometimes,no,2.391949,no,0.725863,0.600005,no,Public_Transportation,1
Male,21.881880,1.807597,76.688266,yes,yes,2.085019,1.151867,Sometimes,no,2.319012,no,0.894814,1.191542,no,Public_Transportation,0
Male,26.388058,1.766185,119.648931,yes,yes,1.687018,3.080096,Sometimes,no,1.866450,no,0.230285,1.499211,no,Public_Transportation,1
Female,20.101471,1.666802,90.315429,yes,yes,2.057002,1.243627,Frequently,no,2.176287,yes,2.274529,0.271932,Sometimes,Automobile,0
Male,18.390039,1.715299,75.429083,no,yes,1.047185,3.180833,Always,no,2.244384,no,1.518801,1.579609,Sometimes,Public_Transportation,0
Male,19.182233,1.756557,151.409839,no,no,1.954932,1.582678,Sometimes,no,1.808646,no,1.276776,0.748565,no,Public_Transportation,0
Male,30.258771,1.702893,74.712938,no,yes,2.566628,2.292341,Sometimes,no,2.781587,no,2.708257,0.689711,Sometimes,Automobile,0
Female,21.000771,1.747452,59.352796,yes,yes,1.469247,3.691007,Sometimes,no,2.309412,no,2.608060,0.616789,Sometimes,Public_Transportation,0
Male,19.049981,1.696460,93.689035,yes,yes,2.538285,1.313747,Sometimes,no,2.548071,no,0.494829,1.363981,Sometimes,Walking,0
Male,15.689287,1.807056,134.775415,yes,yes,2.888914,3.570351,Sometimes,no,1.600113,no,2.896099,1.614460,Sometimes,Automobile,0
Female,23.875401,1.489724,107.703446,no,yes,1.950368,1.033403,Always,no,2.323219,no,1.813188,1.142365,Sometimes,Public_Transportation,0
Female,23.904694,1.701029,90.118906,no,yes,2.576126,2.237200,Sometimes,no,1.976113,no,0.671353,0.579526,no,Public_Transportation,0
Male,19.403007,1.708318,102.814554,no,no,1.076689,3.836812,Frequently,no,2.913008,no,0.257215,0.110720,no,Automobile,0
Female,16.833028,1.684662,43.581046,yes,yes,1.257835,3.248917,Sometimes,no,1.423975,yes,0.781494,1.733791,no,Public_Transportation,0
Female,20.034905,1.616568,51.352350,yes,yes,1.672419,1.184496,Sometimes,no,2.238478,no,1.364564,1.269754,Sometimes,Public_Transportation,0
Female,17.528081,1.665612,81.183739,yes,yes,2.477874,1.090966,Sometimes,no,2.111312,no,0.846507,1.818301,no,Public_Transportation,0
Female,15.902107,1.613388,62.968552,yes,yes,2.320340,2.905180,Sometimes,no,2.572136,no,0.117179,0.884025,Sometimes,Public_Transportation,0
Male,25.600910,1.756268,114.095439,yes,yes,2.921847,3.306133,Sometimes,no,1.345742,no,0.709645,1.006767,no,Automobile,1
Male,24.218446,1.782156,90.298239,no,yes,2.038549,2.700449,Sometimes,no,2.440319,no,1.415778,1.003049,Sometimes,Public_Transportation,0
Male,18.258450,1.854583,58.644969,yes,yes,1.868507,3.250285,Sometimes,no,2.948354,no,0.396345,0.606335,no,Public_Transportation,0
Male,14.800472,1.736348,57.708638,yes,yes,1.085573,3.702126,Sometimes,no,2.393814,no,2.692846,0.852570,Sometimes,Public_Transportation,0
Female,19.742650,1.816414,162.992400,yes,yes,2.332334,3.454251,Sometimes,no,1.591160,no,0.624136,1.487186,no,Walking,0
Male,25.100800,1.763401,112.850996,yes,yes,2.424737,2.389475,Sometimes,no,1.525830,no,1.943976,0.814372,Sometimes,Automobile,1
Female,15.614907,1.587239,44.357183,yes,yes,1.381851,2.627676,Sometimes,no,2.940780,no,1.554216,1.825648,no,Public_Transportation,0
Female,21.465083,1.485881,56.851992,yes,yes,2.003971,1.845231,Sometimes,no,2.120403,no,0.184436,0.685469,Sometimes,Public_Transportation,0
Female,16.928177,1.638825,85.340728,yes,yes,2.746703,3.216019,Sometimes,no,1.676520,no,0.782798,1.605150,Sometimes,Public_Transportation,0
Female,17.933497,1.672940,82.812483,no,yes,1.479634,1.433137,Sometimes,no,2.578851,no,0.202031,0.825622,no,Automobile,0
Male,18.601468,1.853334,102.827217,no,no,2.978290,3.668053,Frequently,no,1.282179,no,1.388012,1.209740,no,Public_Transportation,0
Female,22.352519,1.694573,122.519845,yes,yes,1.245798,2.382212,Frequently,no,1.972733,no,2.232766,0.992715,no,Automobile,0
Male,14.563295,1.769236,87.726894,yes,yes,1.458054,2.891426,Sometimes,no,2.685227,no,2.738190,1.323562,Sometimes,Public_Transportation,0
Male,30.274550,1.797609,124.626274,yes,yes,1.643040,3.730704,Sometimes,no,2.336037,no,1.274927,0.646899,Sometimes,Public_Transportation,1
Female,17.796346,1.581280,55.622357,yes,yes,2.302354,3.359246,Sometimes,no,2.612572,no,0.094952,0.401643,no,Public_Transportation,0
Male,37.594515,1.759046,118.217092,yes,yes,1.745325,3.452932,Sometimes,no,1.054859,no,2.290034,0.507282,Sometimes,Automobile,1
Female,16.448003,1.697308,97.254499,no,yes,2.897229,3.456128,Sometimes,no,2.762845,no,2.394249,0.378372,Sometimes,Public_Transportation,0
Male,15.268382,1.818325,76.971144,no,yes,2.533002,2.979138,Sometimes,no,1.722145,no,1.399603,1.029341,Sometimes,Automobile,0
Female,16.179274,1.686048,53.900324,yes,no,2.436532,1.797015,Sometimes,no,1.851874,no,2.555587,0.408724,Sometimes,Public_Transportation,0
Female,28.450339,1.729168,59.756279,yes,yes,1.546841,1.913853,Sometimes,no,1.987682,no,1.619545,1.646628,no,Public_Transportation,0
Male,19.999799,1.855422,68.965494,yes,yes,1.022415,1.859394,Sometimes,no,2.664694,no,1.663975,1.145410,Sometimes,Public_Transportation,0
Female,17.925326,1.575853,43.852550,no,no,1.945032,3.236142,Frequently,no,2.311685,no,1.473186,1.301197,Sometimes,Automobile,0
Female,23.200098,1.600837,58.243821,no,yes,2.117846,2.684856,Sometimes,no,2.141805,no,2.305884,1.945902,Sometimes,Automobile,0
Male,19.449749,1.796176,68.843662,yes,yes,2.612082,1.095210,Sometimes,no,2.676617,no,2.111804,1.471300,Frequently,Automobile,0
Female,15.632367,1.562543,78.620174,yes,yes,2.196120,3.085764,Sometimes,no,2.515332,no,1.709894,1.255927,no,Public_Transportation,0
Male,23.548752,1.731310,100.141293,yes,yes,2.943667,3.069386,Sometimes,no,1.232897,no,2.196290,1.662385,Sometimes,Public_Transportation,0
Female,18.913844,1.610813,68.048191,no,no,2.641387,1.218546,Frequently,no,2.855026,no,1.254432,0.855676,Sometimes,Public_Transportation,0
Female,21.776538,1.596482,126.239152,no,no,1.887926,1.719213,Sometimes,no,1.006701,no,0.037980,0.505783,Sometimes,Public_Transportation,0
Male,29.471481,1.715191,108.845777,yes,yes,2.432767,1.054927,Sometimes,no,2.036040,no,1.722857,0.088323,Sometimes,Public_Transportation,1
Male,39.943685,1.757804,113.001052,yes,yes,1.902471,1.693903,Sometimes,no,1.484181,no,0.532337,0.312395,Sometimes,Public_Transportation,1
